$\theta_{left}/^o$ , $\theta_{right}/^o$ , $\theta_{middle}/^o$ , $\theta_{middle}/rad$ , $d/nm$
75.5666666667 , 107.133333333 , 15.7833333333 , 0.275471133606 , 882.35184584
75.6666666667 , 107.066666667 , 15.7 , 0.274016692563 , 886.916498362
75.5833333333 , 107.1 , 15.7583333333 , 0.275034801293 , 883.71610435
75.6166666667 , 107.05 , 15.7166666667 , 0.274307580772 , 885.999643392
75.55 , 107.116666667 , 15.7833333333 , 0.275471133606 , 882.35184584
75.6166666667 , 107.083333333 , 15.7333333333 , 0.27459846898 , 885.08475689
