$\theta_{middle}/^o$ , $\theta'_{left}/^o$ , $\delta\theta'_{left}/^o$ , $\theta''_{right}/^o$ , $\delta\theta''_{right}/^o$ , $\delta\theta'-\delta\theta''/^o$
91.5833333333 , 75.75 , 15.8333333333 , 107.3 , 15.7166666667 , 0.116666666667
91.3833333333 , 75.5666666667 , 15.8166666667 , 107.133333333 , 15.75 , 0.0666666666667
